train_loss               train_accuracy           valid_loss               valid_accuracy
Epoch 0..
275.1573791503906        0.1875                   372.8543701171875        0.125
268.8030700683594        0.09375                  206.5716094970703        0.125
105.6028823852539        0.09375                  275.4776611328125        0.125
227.63194274902344       0.03125                  214.0288543701172        0.09375
225.35057067871094       0.09375                  199.4159698486328        0.0625
133.97988891601562       0.15625                  161.09634399414062       0.15625
92.52385711669922        0.1875                   209.07388305664062       0.1875
128.07916259765625       0.09375                  100.66814422607422       0.125
45.52568435668945        0.21875                  82.86903381347656        0.125
30.02805519104004        0.03125                  60.01692581176758        0.0625
24.397769927978516       0.03125                  20.26526641845703        0.15625
10.172134399414062       0.09375                  17.392852783203125       0.03125
4.066045761108398        0.125                    8.295248031616211        0.09375
3.1761627197265625       0.0                      5.386321544647217        0.09375
2.714495897293091        0.125                    3.4000678062438965       0.0625
3.327946186065674        0.0625                   2.6887831687927246       0.125
2.7190475463867188       0.0                      3.8296074867248535       0.0625
2.652374744415283        0.15625                  5.506170272827148        0.0
2.6966800689697266       0.0625                   4.732350826263428        0.03125
3.6611766815185547       0.0                      3.1711394786834717       0.03125
3.3238959312438965       0.09375                  3.3530964851379395       0.0
2.868316888809204        0.0625                   4.5137786865234375       0.125
2.7308685779571533       0.03125                  3.1574764251708984       0.0
2.720965623855591        0.0625                   3.2754592895507812       0.09375
2.700359344482422        0.0625                   5.360825061798096        0.09375
2.7288739681243896       0.03125                  2.748725175857544        0.09375
2.718379020690918        0.03125                  2.6985247135162354       0.09375
2.7008156776428223       0.09375                  2.8461356163024902       0.0625
2.7233479022979736       0.0                      2.705995798110962        0.03125
2.7227585315704346       0.03125                  3.3118464946746826       0.125
2.622343063354492        0.15625                  2.7129130363464355       0.0625
2.6883111000061035       0.0625                   2.712800979614258        0.0625
2.708538293838501        0.0625                   3.54848051071167         0.21875
2.70491623878479         0.0625                   2.708719253540039        0.09375
2.6233935356140137       0.125                    2.623857021331787        0.09375
2.7070136070251465       0.09375                  2.6394882202148438       0.0625
2.6413943767547607       0.0625                   2.742473840713501        0.0
2.6930243968963623       0.09375                  2.7036051750183105       0.15625
2.715348720550537        0.0625                   2.7385036945343018       0.09375
2.7038967609405518       0.0                      2.7112975120544434       0.09375
2.70560359954834         0.125                    2.7097208499908447       0.03125
2.70119047164917         0.03125                  2.754378318786621        0.09375
2.713082790374756        0.0625                   2.8348186016082764       0.0625
2.726040840148926        0.0                      2.7275052070617676       0.03125
2.7136054039001465       0.03125                  2.7163734436035156       0.0625
2.731248140335083        0.03125                  2.7374653816223145       0.03125
2.7065041065216064       0.0625                   3.3075742721557617       0.0625
2.7269952297210693       0.03125                  2.7032761573791504       0.0625
2.7091116905212402       0.0625                   2.750248908996582        0.0
2.6981303691864014       0.15625                  2.7215278148651123       0.125
2.6304855346679688       0.0625                   3.2457926273345947       0.15625
2.6977624893188477       0.03125                  2.69950795173645         0.15625
2.702288866043091        0.03125                  2.616044044494629        0.1875
2.7160403728485107       0.0625                   2.699875831604004        0.09375
2.7158963680267334       0.09375                  2.713901996612549        0.125
2.707993507385254        0.09375                  2.7006120681762695       0.15625
2.7092018127441406       0.03125                  2.7241733074188232       0.0625
2.7230818271636963       0.0                      3.1321043968200684       0.09375
2.7173216342926025       0.03125                  2.706725597381592        0.09375
2.7246901988983154       0.0625                   2.7192389965057373       0.03125
2.711063861846924        0.0625                   2.7003276348114014       0.0625
2.714531898498535        0.09375                  2.7235066890716553       0.0625
2.709749221801758        0.03125                  2.717172622680664        0.0
2.7100789546966553       0.03125                  2.6487836837768555       0.09375
2.721574306488037        0.03125                  2.7023706436157227       0.09375
2.7003443241119385       0.09375                  2.709890604019165        0.15625
2.704402208328247        0.0                      2.7133541107177734       0.0625
2.7234339714050293       0.03125                  2.7016794681549072       0.125
2.708599805831909        0.03125                  2.7143890857696533       0.09375
2.7137415409088135       0.0625                   2.6973843574523926       0.15625
2.7092926502227783       0.0625                   2.700141191482544        0.0625
2.7108535766601562       0.0                      2.715900182723999        0.03125
2.7054946422576904       0.03125                  2.705050468444824        0.0
2.694093942642212        0.0625                   2.7039129734039307       0.125
2.7007946968078613       0.0                      2.724073648452759        0.0
2.6955482959747314       0.09375                  2.715740442276001        0.0625
2.735180139541626        0.03125                  2.7022366523742676       0.09375
2.7377734184265137       0.03125                  2.704939126968384        0.0
2.7075352668762207       0.125                    2.7246198654174805       0.0625
2.7253623008728027       0.0625                   2.7178382873535156       0.0625
2.707702159881592        0.15625                  2.7220728397369385       0.0
2.695354700088501        0.125                    2.7067999839782715       0.15625
2.6991426944732666       0.09375                  2.6266558170318604       0.125
2.7258450984954834       0.03125                  2.708224058151245        0.0625
2.6974802017211914       0.03125                  3.9487030506134033       0.03125
2.7046310901641846       0.0625                   2.718407154083252        0.03125
2.6977763175964355       0.0625                   2.7039427757263184       0.03125
2.713564157485962        0.03125                  3.2680606842041016       0.0625
2.72314453125            0.0625                   2.6850368976593018       0.0625
2.7222981452941895       0.0                      2.7013823986053467       0.0625
2.7155654430389404       0.09375                  2.7075212001800537       0.09375
2.6970808506011963       0.03125                  2.705900192260742        0.0625
2.721647024154663        0.03125                  2.6240193843841553       0.09375
2.6946678161621094       0.15625                  2.6951115131378174       0.03125
2.878340244293213        0.0625                   2.7138185501098633       0.03125
2.7092108726501465       0.125                    2.717813014984131        0.0625
3.3035271167755127       0.09375                  2.7128171920776367       0.03125
2.7157554626464844       0.0625                   2.704469680786133        0.125
2.7070059776306152       0.0625                   2.6997263431549072       0.09375
2.705136299133301        0.09375                  2.704667329788208        0.0
2.7234182357788086       0.0625                   2.7046456336975098       0.15625
2.7092068195343018       0.03125                  2.714576244354248        0.0625
2.718630790710449        0.09375                  2.711854934692383        0.0
2.7093472480773926       0.09375                  2.717434883117676        0.03125
2.7046546936035156       0.03125                  2.6981563568115234       0.09375
2.7059547901153564       0.125                    2.8319344520568848       0.0625
2.7214646339416504       0.03125                  2.717818260192871        0.09375
2.7164955139160156       0.03125                  2.851435899734497        0.03125
2.7060546875             0.03125                  2.720984697341919        0.09375
2.7008910179138184       0.0625                   2.6941988468170166       0.125
2.7064318656921387       0.125                    2.7006661891937256       0.09375
2.71124267578125         0.0                      2.7113585472106934       0.0625
2.709987163543701        0.0625                   2.7162442207336426       0.09375
2.7123680114746094       0.0625                   2.7076196670532227       0.03125
2.7127835750579834       0.03125                  2.7090463638305664       0.0625
2.705322027206421        0.0625                   2.711928129196167        0.03125
2.708955764770508        0.1875                   2.781298875808716        0.0625
2.7149505615234375       0.0                      2.7052295207977295       0.125
2.706836700439453        0.0625                   2.7145886421203613       0.0625
2.7229342460632324       0.0625                   2.7109832763671875       0.0625
2.9487791061401367       0.125                    3.19315767288208         0.125
2.716986656188965        0.0                      2.915616750717163        0.0625
2.713968276977539        0.09375                  2.7175514698028564       0.0625
2.706393003463745        0.03125                  2.7135860919952393       0.09375
2.709406852722168        0.0625                   3.258101224899292        0.03125
2.7098605632781982       0.0625                   3.062523603439331        0.03125
2.7150866985321045       0.0625                   2.7052247524261475       0.0625
2.700504779815674        0.0625                   3.1121559143066406       0.0625
2.72491192817688         0.03125                  2.6958236694335938       0.15625
2.7065274715423584       0.0625                   2.7030930519104004       0.03125
2.7149505615234375       0.03125                  2.7030575275421143       0.03125
2.7067437171936035       0.03125                  2.71852707862854         0.0
